PC=0000000000000150, T_valid=1, T= 4, Told=58, rega= 3, regb=61
PC=0000000000000154, T_valid=0, T=31, Told=31, rega=31, regb= 2
PC=0000000000000158, T_valid=1, T= 5, Told= 4, rega= 4, regb=31
PC=000000000000015c, T_valid=1, T= 1, Told= 5, rega= 5, regb=31
PC=0000000000000170, T_valid=1, T=20, Told= 1, rega= 1, regb=31
PC=0000000000000174, T_valid=1, T=32, Told=20, rega=20, regb=31
PC=0000000000000058, T_valid=0, T=31, Told=31, rega= 4, regb=31
PC=0000000000000070, T_valid=1, T= 5, Told=16, rega=31, regb= 0
PC=0000000000000074, T_valid=1, T= 1, Told=26, rega=26, regb=63
PC=0000000000000078, T_valid=1, T=20, Told= 2, rega=31, regb= 1
PC=000000000000007c, T_valid=1, T=32, Told=63, rega=63, regb= 0
PC=0000000000000080, T_valid=1, T=33, Told= 1, rega= 1, regb=32
PC=0000000000000084, T_valid=1, T=38, Told=20, rega=31, regb=33
PC=0000000000000088, T_valid=0, T=31, Told=31, rega= 4, regb=31
PC=0000000000000134, T_valid=1, T=32, Told= 0, rega= 0, regb= 0
PC=0000000000000138, T_valid=0, T=31, Told=31, rega=31, regb=20
PC=000000000000007c, T_valid=1, T=33, Told=63, rega=63, regb=32
PC=0000000000000080, T_valid=1, T=38, Told= 1, rega= 1, regb=33
PC=0000000000000084, T_valid=1, T=21, Told=20, rega=31, regb=38
PC=0000000000000088, T_valid=0, T=31, Told=31, rega= 4, regb=31
PC=0000000000000070, T_valid=1, T=22, Told= 5, rega=31, regb=32
PC=0000000000000074, T_valid=1, T=40, Told=38, rega=38, regb=33
PC=0000000000000078, T_valid=1, T=41, Told=21, rega=31, regb=40
PC=0000000000000110, T_valid=1, T=22, Told= 4, rega= 4, regb=31
PC=0000000000000114, T_valid=0, T=31, Told=31, rega=31, regb=21
PC=0000000000000118, T_valid=1, T=40, Told=61, rega=61, regb=31
PC=000000000000011c, T_valid=1, T=41, Told=22, rega=31, regb=31
PC=0000000000000120, T_valid=0, T=31, Told=31, rega=31, regb=21
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=22, regb=31
PC=0000000000000070, T_valid=1, T=40, Told= 5, rega=31, regb=32
PC=0000000000000074, T_valid=1, T=41, Told=38, rega=38, regb=33
PC=0000000000000078, T_valid=1, T=44, Told=21, rega=31, regb=41
PC=000000000000007c, T_valid=1, T=14, Told=33, rega=33, regb=32
PC=000000000000008c, T_valid=1, T=40, Told=21, rega=21, regb=31
PC=0000000000000090, T_valid=1, T=41, Told=61, rega=31, regb=22
PC=0000000000000094, T_valid=1, T=44, Told=32, rega=31, regb= 5
PC=0000000000000098, T_valid=1, T=14, Told=33, rega=33, regb=44
PC=000000000000009c, T_valid=1, T=15, Told=38, rega=38, regb=14
PC=00000000000000a0, T_valid=1, T=34, Told=40, rega=31, regb=15
PC=00000000000000a4, T_valid=1, T=49, Told=41, rega=41, regb=62
PC=00000000000000a8, T_valid=0, T=31, Told=31, rega=49, regb=31
PC=00000000000000ac, T_valid=1, T= 6, Told=44, rega=31, regb=60
PC=00000000000000f4, T_valid=1, T=41, Told=22, rega=31, regb=59
PC=00000000000000f8, T_valid=0, T=31, Told=31, rega=39, regb=59
